,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9655982905982907,0.953497113997114,0.9484722222222222,0.9461437728937728,0.9614583333333333,0.9615384615384616,0.96,0.9411764705882353,0.9504950495049505,0.9579300074460164,0.2342231273651123
DATA_CLASS_random_forest,0.9832336182336183,0.9639191919191918,0.9908333333333335,0.9759358936557079,0.9850408496732025,0.9769230769230769,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176,7.512294054031372
FEATURE_ENVY_decision_tree,0.9482153846153848,0.9194199134199136,0.9308333333333333,0.9199341859550837,0.943782679738562,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.21374249458312988
FEATURE_ENVY_random_forest,0.9652923076923078,0.9282424242424241,0.9759722222222222,0.9492738709518896,0.967904411764706,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,5.757805109024048
GOD_CLASS_decision_tree,0.9709401709401712,0.9600025252525254,0.9580555555555554,0.9569962651727357,0.967671568627451,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.2197871208190918
GOD_CLASS_random_forest,0.9717236467236468,0.959644660894661,0.9605555555555556,0.9582632930365129,0.9690359477124183,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,6.2888665199279785
LONG_METHOD_decision_tree,0.9745846153846155,0.9600934343434343,0.96625,0.9603194023898359,0.9722589869281046,0.9612403100775194,0.9166666666666666,0.9777777777777777,0.946236559139785,0.965079365079365,0.20740032196044922
LONG_METHOD_random_forest,0.9934307692307693,0.9926666666666668,0.9883333333333334,0.9898754729962161,0.992173202614379,1.0,1.0,1.0,1.0,1.0,5.259109973907471
