,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.4251649379730225,32.03073072433472,11.108695983886719,193.7062373161316,23.411102056503296,54.36869549751282
FEATURE_ENVY,2.3166093826293945,30.52626395225525,16.66790270805359,174.08649849891663,20.97178363800049,60.28479194641113
GOD_CLASS,2.270282030105591,25.60196542739868,14.923443078994751,202.909029006958,23.90184259414673,60.86151885986328
LONG_METHOD,2.492138385772705,28.27035880088806,14.559215068817139,248.52132773399353,23.5123393535614,50.69167518615723
