,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9870655270655271,0.9900707070707071,0.9731944444444445,0.9799435844513243,0.9837050653594772,0.9692307692307692,1.0,0.9215686274509803,0.9591836734693878,0.9607843137254901,0.2386929988861084
DATA_CLASS_random_forest,0.9938888888888888,0.9872525252525253,0.9966666666666666,0.9914434124527004,0.9945915032679739,0.9769230769230769,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176,9.57108736038208
FEATURE_ENVY_decision_tree,0.9478923076923078,0.929640331890332,0.9197222222222223,0.9179351461232267,0.9405800653594771,0.9457364341085271,0.9302325581395349,0.9090909090909091,0.9195402298850575,0.9368983957219251,0.2329730987548828
FEATURE_ENVY_random_forest,0.9633692307692309,0.9270479797979799,0.9706944444444445,0.9455745245466608,0.9654616013071895,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,6.938854217529297
GOD_CLASS_decision_tree,0.9701994301994304,0.9595631313131314,0.95875,0.956250049142464,0.967561274509804,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.21184873580932617
GOD_CLASS_random_forest,0.9714245014245015,0.960770202020202,0.9593055555555555,0.9579929480564157,0.9684763071895424,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,4.804502487182617
LONG_METHOD_decision_tree,0.9868461538461539,0.9830992063492064,0.9775,0.9791842965256279,0.9845016339869281,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.22130632400512695
LONG_METHOD_random_forest,0.9934307692307693,0.9932777777777778,0.9880555555555555,0.9899893852277754,0.991968954248366,1.0,1.0,1.0,1.0,1.0,5.063731670379639
