,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9698433048433047,0.9618636363636364,0.9533333333333333,0.9547400240798073,0.9659967320261437,0.9769230769230769,0.98,0.9607843137254902,0.9702970297029702,0.9740630429386946,0.23902463912963867
DATA_CLASS_random_forest,0.9911680911680912,0.9888888888888888,0.9863888888888889,0.9869247506019951,0.9899754901960784,0.9769230769230769,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176,2.5650906562805176
FEATURE_ENVY_decision_tree,0.9489846153846154,0.9310072150072151,0.9172222222222222,0.920890670303209,0.9408823529411764,0.937984496124031,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9310160427807487,0.2546253204345703
FEATURE_ENVY_random_forest,0.9528923076923078,0.9344635642135642,0.9233333333333333,0.9257421617769915,0.9451307189542483,0.9457364341085271,0.9302325581395349,0.9090909090909091,0.9195402298850575,0.9368983957219251,2.7130966186523438
GOD_CLASS_decision_tree,0.961837606837607,0.9644072871572873,0.925,0.9411532139171459,0.9529084967320262,0.9769230769230769,0.9523809523809523,0.975609756097561,0.963855421686747,0.9765689229926007,0.22979331016540527
GOD_CLASS_random_forest,0.9767378917378919,0.9779873737373738,0.9548611111111112,0.9647575679394567,0.9713357843137256,0.9769230769230769,0.9523809523809523,0.975609756097561,0.963855421686747,0.9765689229926007,2.534935235977173
LONG_METHOD_decision_tree,0.9853076923076923,0.98175,0.9754166666666667,0.9768987050960735,0.982920751633987,0.9844961240310077,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.982936507936508,0.24580597877502441
LONG_METHOD_random_forest,0.9888307692307693,0.9815277777777777,0.9859722222222222,0.9827899896800827,0.9881658496732026,1.0,1.0,1.0,1.0,1.0,2.5943212509155273
