,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.974900284900285,0.9604224386724388,0.97,0.9627161654135338,0.9737254901960785,0.9615384615384616,0.96,0.9411764705882353,0.9504950495049505,0.9579300074460164,0.22957181930541992
DATA_CLASS_random_forest,0.9904273504273506,0.9876666666666668,0.9852777777777777,0.9857300113027668,0.989142156862745,1.0,1.0,1.0,1.0,1.0,6.942251682281494
FEATURE_ENVY_decision_tree,0.956769230769231,0.9234609557109559,0.9559722222222223,0.935095893528556,0.9565318627450979,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.21514034271240234
FEATURE_ENVY_random_forest,0.9652615384615386,0.9296572871572873,0.97125,0.9477639318885448,0.9668341503267973,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,5.415083169937134
GOD_CLASS_decision_tree,0.9686609686609686,0.9593080808080807,0.9538888888888889,0.953920032925451,0.9650816993464052,0.9615384615384616,0.95,0.926829268292683,0.9382716049382716,0.9521786790901616,0.2141714096069336
GOD_CLASS_random_forest,0.9733048433048436,0.9684931457431459,0.9558333333333334,0.9600086859305127,0.9689133986928105,0.9692307692307692,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9643738010413812,4.292391061782837
LONG_METHOD_decision_tree,0.9695076923076924,0.9631536796536796,0.9461111111111111,0.9514872239044065,0.9633496732026144,0.9844961240310077,1.0,0.9555555555555556,0.9772727272727273,0.9777777777777779,0.21344995498657227
LONG_METHOD_random_forest,0.990723076923077,0.9854444444444443,0.9880555555555556,0.9858520811833507,0.9900081699346406,1.0,1.0,1.0,1.0,1.0,5.689289093017578
