,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.9736573696136475,24.494086742401123,17.481752395629883,263.5519554615021,19.718400955200195,49.6096978187561
FEATURE_ENVY,2.8579771518707275,27.783714056015015,16.35277771949768,199.90900111198425,19.823795318603516,53.32203435897827
GOD_CLASS,2.981361150741577,24.807408809661865,12.641049146652222,237.8215253353119,21.19122338294983,58.93839120864868
LONG_METHOD,3.026214361190796,24.89210271835327,12.811758518218994,234.62203574180603,22.179075956344604,52.73576545715332
