,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9767094017094018,0.9701919191919193,0.9655555555555554,0.9661212590299277,0.9740686274509804,0.9384615384615385,1.0,0.8431372549019608,0.9148936170212766,0.9215686274509804,0.23653745651245117
DATA_CLASS_random_forest,0.9806695156695159,0.9561010101010102,0.9920833333333334,0.9720834807607254,0.9834109477124183,0.9846153846153847,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9838669645073219,3.7109975814819336
FEATURE_ENVY_decision_tree,0.9532615384615386,0.9172373737373738,0.9525,0.9297062048606334,0.9531454248366014,0.937984496124031,0.8913043478260869,0.9318181818181818,0.9111111111111111,0.9364973262032084,0.2480611801147461
FEATURE_ENVY_random_forest,0.9625846153846155,0.9259141414141415,0.9677777777777777,0.9441970735662686,0.963954248366013,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,6.997550010681152
GOD_CLASS_decision_tree,0.9717806267806268,0.9577550505050506,0.9630555555555556,0.9584297385620916,0.9697140522875817,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.2361741065979004
GOD_CLASS_random_forest,0.9705555555555558,0.9601111111111112,0.9580555555555555,0.9568062066932036,0.9674264705882354,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,5.247766017913818
LONG_METHOD_decision_tree,0.974476923076923,0.9629267676767677,0.9640277777777777,0.9605326683979934,0.9717197712418302,0.9612403100775194,1.0,0.8888888888888888,0.9411764705882353,0.9444444444444444,0.2413485050201416
LONG_METHOD_random_forest,0.9938461538461538,0.9938484848484848,0.9880555555555556,0.9903560371517028,0.992312091503268,1.0,1.0,1.0,1.0,1.0,3.858510732650757
