,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.442143201828003,31.389771699905396,16.03002643585205,198.31732869148254,21.68687415122986,50.69455361366272
FEATURE_ENVY,2.3838555812835693,32.056564807891846,10.8104829788208,194.45482659339905,22.783141613006592,57.087608098983765
GOD_CLASS,2.3162496089935303,28.81468963623047,14.508180141448975,189.77674746513367,24.54798412322998,53.96976923942566
LONG_METHOD,2.3297171592712402,24.892099618911743,11.551565885543823,198.78186130523682,25.967509508132935,59.99958038330078
