,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9900427350427351,0.9897373737373737,0.9820833333333334,0.9849313725490195,0.988214869281046,0.9692307692307692,0.9795918367346939,0.9411764705882353,0.96,0.9642591213700671,0.22530698776245117
DATA_CLASS_random_forest,0.9851139601139601,0.9635757575757578,0.9976388888888889,0.9793488132094944,0.9881168300653594,0.9692307692307692,0.9795918367346939,0.9411764705882353,0.96,0.9642591213700671,7.467814207077026
FEATURE_ENVY_decision_tree,0.9521230769230771,0.9249148629148629,0.9381944444444444,0.9266737072696825,0.9486070261437909,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.23338770866394043
FEATURE_ENVY_random_forest,0.9652307692307693,0.9280075757575759,0.9761111111111112,0.9490871664455257,0.9679901960784314,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,7.502393007278442
GOD_CLASS_decision_tree,0.9726210826210828,0.9593989898989901,0.9648611111111112,0.9597433411961276,0.9706658496732026,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.21717596054077148
GOD_CLASS_random_forest,0.9702279202279204,0.9585252525252527,0.9588888888888889,0.956015479876161,0.9676797385620916,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,3.8358347415924072
LONG_METHOD_decision_tree,0.9845692307692308,0.9771944444444445,0.9775,0.9761132242370633,0.9827696078431372,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.23735809326171875
LONG_METHOD_random_forest,0.9883538461538462,0.978939393939394,0.9883333333333334,0.9824760921912624,0.9884477124183007,1.0,1.0,1.0,1.0,1.0,2.9198668003082275
