,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.985883190883191,0.9823946608946608,0.9777777777777777,0.9789728242174064,0.9839869281045752,0.9692307692307692,0.9795918367346939,0.9411764705882353,0.96,0.9642591213700671,0.22708439826965332
DATA_CLASS_random_forest,0.9873504273504274,0.9693636363636365,0.9988888888888888,0.982826969384245,0.9901633986928106,0.9769230769230769,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176,8.856723546981812
FEATURE_ENVY_decision_tree,0.9440615384615385,0.921127344877345,0.9138888888888889,0.9117242002063984,0.9360294117647058,0.9534883720930233,0.8958333333333334,0.9772727272727273,0.9347826086956522,0.9592245989304812,0.21988916397094727
FEATURE_ENVY_random_forest,0.9637076923076924,0.9294836829836829,0.9718055555555556,0.94758400010722,0.9657883986928104,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,4.332024097442627
GOD_CLASS_decision_tree,0.951794871794872,0.9463997113997116,0.9188888888888889,0.9278559142955429,0.9436601307189543,0.9,0.8333333333333334,0.8536585365853658,0.8433734939759037,0.8875034255960537,0.2100210189819336
GOD_CLASS_random_forest,0.9717521367521368,0.9601843434343437,0.9605555555555557,0.9583591331269351,0.9690359477124183,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,4.028303623199463
LONG_METHOD_decision_tree,0.9667846153846155,0.9429787157287157,0.9622222222222221,0.9494154749619145,0.9656699346405229,0.9612403100775194,0.9166666666666666,0.9777777777777777,0.946236559139785,0.965079365079365,0.21095514297485352
LONG_METHOD_random_forest,0.9868615384615385,0.977939393939394,0.9856944444444444,0.980625264140744,0.9865400326797384,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,5.123807430267334
