,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.396155834197998,34.12090706825256,14.329010963439941,181.92350220680237,19.98270010948181,55.76122713088989
FEATURE_ENVY,2.372680187225342,29.414824962615967,15.67180848121643,308.6493797302246,22.77334451675415,54.81838536262512
GOD_CLASS,2.5870938301086426,27.89600968360901,15.511536359786987,194.76952052116394,21.818066120147705,50.104907751083374
LONG_METHOD,2.7817883491516113,25.263038396835327,14.215317487716675,192.73466897010803,20.590949296951294,55.421876192092896
