,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9740028490028492,0.9706944444444445,0.9552777777777777,0.9600366479925304,0.9695833333333335,0.9538461538461539,1.0,0.8823529411764706,0.9375,0.9411764705882353,0.22135043144226074
DATA_CLASS_random_forest,0.9871082621082621,0.9840555555555557,0.9795833333333335,0.9804583026192932,0.985232843137255,0.9923076923076923,1.0,0.9803921568627451,0.99009900990099,0.9901960784313726,6.587940454483032
FEATURE_ENVY_decision_tree,0.9466615384615387,0.9189321789321789,0.9281944444444444,0.9184070347437222,0.9415972222222222,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.22670912742614746
FEATURE_ENVY_random_forest,0.9614769230769233,0.9291857031857035,0.9645833333333335,0.943320682499475,0.9622263071895424,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,5.34229040145874
GOD_CLASS_decision_tree,0.9656267806267809,0.9567954545454547,0.9469444444444446,0.9487385743771192,0.9610539215686275,0.9769230769230769,0.9523809523809523,0.975609756097561,0.963855421686747,0.9765689229926007,0.20560574531555176
GOD_CLASS_random_forest,0.9721225071225073,0.9600580808080807,0.9630555555555556,0.9592383532360312,0.9699754901960783,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,4.579679250717163
LONG_METHOD_decision_tree,0.986446153846154,0.9830000000000001,0.9770833333333334,0.9782573354577998,0.9839828431372548,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.2242743968963623
LONG_METHOD_random_forest,0.9903384615384616,0.9845858585858585,0.9883333333333333,0.9855810113519092,0.9898366013071894,1.0,1.0,1.0,1.0,1.0,5.607708692550659
