,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9709971509971511,0.9512727272727274,0.9709722222222222,0.9585263280750896,0.9710089869281046,0.9769230769230769,0.98,0.9607843137254902,0.9702970297029702,0.9740630429386946,0.2512073516845703
DATA_CLASS_random_forest,0.9915954415954417,0.9914603174603174,0.9840277777777777,0.9870349157206744,0.9896936274509802,0.9769230769230769,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176,2.6649045944213867
FEATURE_ENVY_decision_tree,0.951,0.9341190476190476,0.9201388888888888,0.9232702844970647,0.9429779411764706,0.937984496124031,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9310160427807487,0.25603556632995605
FEATURE_ENVY_random_forest,0.9512615384615387,0.934433621933622,0.9198611111111111,0.9227342763016138,0.9430351307189543,0.9457364341085271,0.9302325581395349,0.9090909090909091,0.9195402298850575,0.9368983957219251,2.7368991374969482
GOD_CLASS_decision_tree,0.9613960113960114,0.966209595959596,0.9225,0.9402415966386556,0.9520179738562092,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.22343826293945312
GOD_CLASS_random_forest,0.9743732193732194,0.9724747474747475,0.9551388888888889,0.9616938915917244,0.9696936274509805,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,2.3394076824188232
LONG_METHOD_decision_tree,0.9900000000000001,0.9861944444444446,0.9844444444444446,0.9844582903336773,0.9885294117647058,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.21640276908874512
LONG_METHOD_random_forest,0.9868769230769232,0.9798769841269842,0.9808333333333334,0.9793932748538012,0.9853186274509804,1.0,1.0,1.0,1.0,1.0,2.309403419494629
