,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9881481481481482,0.9832954545454546,0.9838888888888888,0.9824458204334365,0.9870424836601306,0.9692307692307692,0.9795918367346939,0.9411764705882353,0.96,0.9642591213700671,0.2675018310546875
DATA_CLASS_random_forest,0.980940170940171,0.9563434343434345,0.9941666666666665,0.9735768833849331,0.9840441176470588,0.9846153846153847,1.0,0.9607843137254902,0.98,0.9803921568627452,4.820869445800781
FEATURE_ENVY_decision_tree,0.9483076923076925,0.9184047619047621,0.9347222222222222,0.9213338011317888,0.9447794117647058,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.24946832656860352
FEATURE_ENVY_random_forest,0.9648615384615384,0.9278037518037521,0.9752777777777777,0.9487925328025948,0.9675898692810456,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,4.744760751724243
GOD_CLASS_decision_tree,0.9709829059829062,0.9598813131313132,0.9597222222222223,0.9572529239766083,0.9682761437908496,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.24363327026367188
GOD_CLASS_random_forest,0.973005698005698,0.9623636363636365,0.9619444444444444,0.9602162882696939,0.9703349673202614,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,6.362832546234131
LONG_METHOD_decision_tree,0.979923076923077,0.9742608225108225,0.9659722222222222,0.967884442440944,0.976172385620915,1.0,1.0,1.0,1.0,1.0,0.24954533576965332
LONG_METHOD_random_forest,0.9915230769230771,0.9868333333333333,0.9881944444444446,0.9869241486068111,0.9906821895424837,1.0,1.0,1.0,1.0,1.0,5.956421852111816
