,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9748148148148149,0.9642499999999999,0.9655555555555556,0.9618595139810311,0.9725816993464054,0.9615384615384616,0.96,0.9411764705882353,0.9504950495049505,0.9579300074460164,0.22780561447143555
DATA_CLASS_random_forest,0.9896866096866097,0.9777272727272728,0.9955555555555555,0.9856938424492604,0.9911111111111112,0.9846153846153847,1.0,0.9607843137254902,0.98,0.9803921568627452,6.880945444107056
FEATURE_ENVY_decision_tree,0.9420461538461541,0.9152640692640693,0.9165277777777777,0.9099129497953028,0.9354044117647058,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.22609233856201172
FEATURE_ENVY_random_forest,0.9649230769230772,0.9275277777777778,0.975,0.9486112462528871,0.9674673202614378,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,6.625396490097046
GOD_CLASS_decision_tree,0.9702849002849002,0.9664098124098124,0.9491666666666667,0.95459212983439,0.9650898692810458,0.9615384615384616,0.95,0.926829268292683,0.9382716049382716,0.9521786790901616,0.22715187072753906
GOD_CLASS_random_forest,0.9740455840455842,0.9618365800865801,0.9641666666666667,0.9614413484692124,0.9717238562091504,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,3.209160089492798
LONG_METHOD_decision_tree,0.9792000000000001,0.9723914141414142,0.9666666666666666,0.9677567939456485,0.9758823529411764,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.23477745056152344
LONG_METHOD_random_forest,0.9945999999999999,0.996638888888889,0.9865277777777777,0.9911910044719642,0.9923978758169935,1.0,1.0,1.0,1.0,1.0,5.317104339599609
