,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.8178329467773438,29.419099807739258,14.270143508911133,287.74665689468384,20.10296368598938,52.85669946670532
FEATURE_ENVY,2.9068479537963867,25.05739665031433,17.486008405685425,186.53227138519287,18.13635540008545,53.77652096748352
GOD_CLASS,2.81441593170166,28.999070644378662,20.650023698806763,201.54187083244324,20.9281165599823,48.62902855873108
LONG_METHOD,2.918456554412842,24.761370420455933,15.897959232330322,167.60121250152588,19.1870059967041,50.057830810546875
