,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9721225071225074,0.9601749639249639,0.9616666666666666,0.9589540763673893,0.9695424836601306,0.9846153846153847,1.0,0.9607843137254902,0.98,0.9803921568627452,0.23908686637878418
DATA_CLASS_random_forest,0.9915954415954417,0.987959595959596,0.988888888888889,0.987861369109047,0.9909313725490196,0.9846153846153847,1.0,0.9607843137254902,0.98,0.9803921568627452,2.5852577686309814
FEATURE_ENVY_decision_tree,0.9471538461538461,0.9301948051948052,0.9116666666666667,0.9163916181857357,0.9378267973856209,0.9147286821705426,0.9024390243902439,0.8409090909090909,0.8705882352941177,0.8969251336898395,0.2449502944946289
FEATURE_ENVY_random_forest,0.9551538461538464,0.9380104617604619,0.9279166666666667,0.9296489753796258,0.9479289215686273,0.9612403100775194,0.9333333333333333,0.9545454545454546,0.9438202247191012,0.9596256684491979,2.651215076446533
GOD_CLASS_decision_tree,0.9609829059829061,0.9628762626262628,0.9248611111111111,0.9404000687994497,0.9523488562091502,0.9769230769230769,0.9523809523809523,0.975609756097561,0.963855421686747,0.9765689229926007,0.23783659934997559
GOD_CLASS_random_forest,0.9751994301994302,0.9738358585858584,0.9551388888888889,0.9628904368765049,0.9703635620915034,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,2.4740262031555176
LONG_METHOD_decision_tree,0.9911538461538462,0.9904444444444445,0.9830555555555556,0.9855310221254493,0.9889624183006537,1.0,1.0,1.0,1.0,1.0,0.24233746528625488
LONG_METHOD_random_forest,0.99,0.9848333333333334,0.98625,0.9849123667010664,0.9891053921568629,1.0,1.0,1.0,1.0,1.0,2.58135724067688
