,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.940019130706787,29.262405395507812,15.313675880432129,214.68443250656128,19.511504650115967,50.394917249679565
FEATURE_ENVY,2.633995771408081,30.32802176475525,18.39456582069397,185.10968828201294,20.721552848815918,50.104137659072876
GOD_CLASS,2.9338974952697754,27.350845336914062,14.820624351501465,212.6707010269165,20.90473246574402,49.846240282058716
LONG_METHOD,2.9632036685943604,22.26677179336548,19.281550884246826,208.27249598503113,23.535688161849976,55.25511026382446
