,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9617521367521369,0.9418170995670995,0.9516666666666667,0.9441603272888104,0.959313725490196,0.9615384615384616,0.96,0.9411764705882353,0.9504950495049505,0.9579300074460164,0.2317800521850586
DATA_CLASS_random_forest,0.9835612535612538,0.961489898989899,0.9954166666666667,0.9770478647599391,0.9864501633986928,0.9846153846153847,1.0,0.9607843137254902,0.98,0.9803921568627452,5.111464738845825
FEATURE_ENVY_decision_tree,0.9382153846153847,0.9106053391053393,0.9080555555555556,0.9028194513604731,0.9303676470588235,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.237931489944458
FEATURE_ENVY_random_forest,0.9648307692307694,0.9320479797979799,0.9702777777777777,0.9481155093616394,0.9661846405228758,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,5.753262758255005
GOD_CLASS_decision_tree,0.972165242165242,0.9634407536907537,0.9597222222222223,0.9590060355880791,0.9691911764705883,0.9538461538461539,0.9069767441860465,0.9512195121951219,0.9285714285714286,0.9531378459852013,0.22515010833740234
GOD_CLASS_random_forest,0.9732763532763533,0.9617676767676768,0.9643055555555557,0.9607782077743379,0.9710906862745099,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,4.791879415512085
LONG_METHOD_decision_tree,0.9626461538461542,0.9391572871572873,0.9545833333333335,0.9427532065457762,0.9603635620915033,0.9689922480620154,0.9183673469387755,1.0,0.9574468085106383,0.9761904761904762,0.22275280952453613
LONG_METHOD_random_forest,0.9914923076923078,0.9867777777777779,0.9883333333333334,0.9868723770209837,0.9907843137254901,1.0,1.0,1.0,1.0,1.0,5.8442137241363525
