,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.7911715507507324,32.94174098968506,13.931487321853638,227.98590278625488,20.730584144592285,55.52098751068115
FEATURE_ENVY,2.4191417694091797,31.317327976226807,10.684838771820068,238.09890246391296,21.779916048049927,52.17454552650452
GOD_CLASS,2.333110809326172,30.96165132522583,12.082990169525146,220.24640011787415,22.328779220581055,50.61891055107117
LONG_METHOD,2.4294514656066895,24.6526997089386,13.247130393981934,248.24870324134827,21.261220455169678,59.571024656295776
