,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.429856300354004,29.963796854019165,12.799713134765625,293.1690435409546,20.623769521713257,56.16489124298096
FEATURE_ENVY,2.4162793159484863,30.589982271194458,16.05656147003174,240.88005566596985,24.41292643547058,57.9499831199646
GOD_CLASS,2.3006927967071533,31.908112287521362,13.034454584121704,233.6471128463745,22.784425258636475,55.471457719802856
LONG_METHOD,2.492093324661255,26.637206315994263,16.80011296272278,221.81869626045227,19.29781985282898,59.42232632637024
