,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9705698005698007,0.9656944444444445,0.95125,0.9556521819254019,0.9657883986928105,0.9692307692307692,0.9795918367346939,0.9411764705882353,0.96,0.9642591213700671,0.23882007598876953
DATA_CLASS_random_forest,0.9935327635327635,0.9928888888888889,0.9888888888888888,0.9902979876160991,0.9924346405228758,0.9769230769230769,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176,2.6061196327209473
FEATURE_ENVY_decision_tree,0.9424923076923077,0.9162337662337663,0.916111111111111,0.9114623200157257,0.93609477124183,0.9069767441860465,0.9,0.8181818181818182,0.8571428571428572,0.8855614973262033,0.25501084327697754
FEATURE_ENVY_random_forest,0.9563846153846154,0.9371940836940837,0.9341666666666666,0.9320615877930121,0.9504983660130718,0.937984496124031,0.8913043478260869,0.9318181818181818,0.9111111111111111,0.9364973262032084,2.6253185272216797
GOD_CLASS_decision_tree,0.9573361823361823,0.9608787878787881,0.9155555555555555,0.934653349058922,0.9471568627450979,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.2747652530670166
GOD_CLASS_random_forest,0.9755413105413107,0.9752373737373738,0.955,0.9631201410388718,0.9705882352941176,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,2.5139553546905518
LONG_METHOD_decision_tree,0.9884615384615385,0.9876666666666667,0.9769444444444444,0.9807161219413542,0.9853676470588235,1.0,1.0,1.0,1.0,1.0,0.24226665496826172
LONG_METHOD_random_forest,0.9899538461538461,0.9865,0.9830555555555556,0.9840586515307878,0.9881290849673203,1.0,1.0,1.0,1.0,1.0,2.582787036895752
