,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9915954415954417,0.986919191919192,0.9898611111111112,0.9877867217062263,0.991188725490196,0.9692307692307692,0.9795918367346939,0.9411764705882353,0.96,0.9642591213700671,0.2161574363708496
DATA_CLASS_random_forest,0.9797150997150997,0.9537146464646465,0.9933333333333333,0.9717792029092339,0.9830392156862744,0.9846153846153847,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9838669645073219,7.41199517250061
FEATURE_ENVY_decision_tree,0.9394615384615385,0.9273315295815295,0.8945833333333333,0.9043151269954677,0.9278799019607843,0.9302325581395349,0.926829268292683,0.8636363636363636,0.8941176470588236,0.9141711229946525,0.22077059745788574
FEATURE_ENVY_random_forest,0.9644923076923078,0.9295730380730381,0.9741666666666667,0.948343333824758,0.9671323529411764,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,3.3428120613098145
GOD_CLASS_decision_tree,0.9670940170940172,0.9465790043290044,0.9630555555555554,0.9525166470096811,0.9661192810457515,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.21252846717834473
GOD_CLASS_random_forest,0.9713817663817664,0.960588383838384,0.9595833333333335,0.9578638630890954,0.9684191176470588,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,5.613368034362793
LONG_METHOD_decision_tree,0.9629846153846155,0.9260998445998447,0.97375,0.946006871009967,0.9656821895424836,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.24568963050842285
LONG_METHOD_random_forest,0.9946,0.9957777777777779,0.9880555555555556,0.991359477124183,0.9929166666666666,1.0,1.0,1.0,1.0,1.0,2.935551881790161
