,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9759259259259262,0.9656717171717173,0.96875,0.9648261585335888,0.9741462418300654,0.9615384615384616,1.0,0.9019607843137255,0.9484536082474228,0.9509803921568627,0.24474239349365234
DATA_CLASS_random_forest,0.9821082621082623,0.9624469696969699,0.98875,0.9741996044031649,0.9837214052287581,0.9923076923076923,0.9807692307692307,1.0,0.9902912621359222,0.9936708860759494,3.784404754638672
FEATURE_ENVY_decision_tree,0.9444,0.9202629037629039,0.9186111111111112,0.914002436847638,0.9374754901960783,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.2364799976348877
FEATURE_ENVY_random_forest,0.9652000000000003,0.9283684926184929,0.9761111111111112,0.9491285935426802,0.9680882352941177,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,5.365979194641113
GOD_CLASS_decision_tree,0.972877492877493,0.9599242424242425,0.965138888888889,0.9602694358445133,0.9709681372549019,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.22666072845458984
GOD_CLASS_random_forest,0.9725071225071227,0.9609747474747476,0.9615277777777778,0.9591016143299426,0.969750816993464,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,7.639965295791626
LONG_METHOD_decision_tree,0.9680000000000001,0.9486145521145523,0.9613888888888888,0.9513651229231723,0.9661192810457514,0.9612403100775194,0.9166666666666666,0.9777777777777777,0.946236559139785,0.965079365079365,0.2381429672241211
LONG_METHOD_random_forest,0.9934000000000001,0.9923055555555556,0.9880555555555556,0.9896581527347782,0.9920179738562092,1.0,1.0,1.0,1.0,1.0,4.0103535652160645
