,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9706552706552707,0.9601742424242425,0.9584722222222223,0.9568023367241634,0.9676674836601308,0.9846153846153847,1.0,0.9607843137254902,0.98,0.9803921568627452,0.25685787200927734
DATA_CLASS_random_forest,0.991994301994302,0.989820707070707,0.9876388888888888,0.9881215170278637,0.9909599673202615,0.9846153846153847,1.0,0.9607843137254902,0.98,0.9803921568627452,2.5510568618774414
FEATURE_ENVY_decision_tree,0.9464,0.9252453102453103,0.9163888888888887,0.9160534065178028,0.9385212418300651,0.9069767441860465,0.9,0.8181818181818182,0.8571428571428572,0.8855614973262033,0.24846935272216797
FEATURE_ENVY_random_forest,0.9556000000000003,0.9375526695526698,0.9308333333333334,0.9300636905234428,0.949158496732026,0.9302325581395349,0.8888888888888888,0.9090909090909091,0.8988764044943819,0.9251336898395722,2.669973850250244
GOD_CLASS_decision_tree,0.9634330484330484,0.9639469696969698,0.9340277777777779,0.9450608629416679,0.9563439542483662,0.9769230769230769,0.9523809523809523,0.975609756097561,0.963855421686747,0.9765689229926007,0.2384629249572754
GOD_CLASS_random_forest,0.9751424501424504,0.97375,0.9552777777777779,0.9627131062951497,0.9704003267973857,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,2.5148255825042725
LONG_METHOD_decision_tree,0.9902923076923078,0.9867500000000001,0.9841666666666665,0.9845433067964029,0.9886846405228757,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.24927091598510742
LONG_METHOD_random_forest,0.9888153846153849,0.9822222222222223,0.9855555555555555,0.9828159614723083,0.9879575163398693,0.9922480620155039,0.9782608695652174,1.0,0.989010989010989,0.9940476190476191,2.628176212310791
