,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.4047112464904785,28.35841417312622,15.282925844192505,255.9158639907837,23.39009189605713,61.34092354774475
FEATURE_ENVY,2.5379819869995117,27.759350299835205,11.064232587814331,202.36495637893677,19.612494945526123,56.17693567276001
GOD_CLASS,2.3095953464508057,30.71947693824768,11.696166753768921,194.62876677513123,26.099443912506104,58.28877806663513
LONG_METHOD,2.5056965351104736,24.116897106170654,12.443563222885132,158.8321888446808,23.201391220092773,58.32113313674927
