,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9786752136752138,0.9732828282828282,0.9665277777777778,0.9674029682048259,0.9758129084967321,0.9615384615384616,0.9791666666666666,0.9215686274509803,0.9494949494949494,0.9544551998014394,0.23067307472229004
DATA_CLASS_random_forest,0.9813105413105414,0.9633131313131316,0.9866666666666667,0.9734723942208463,0.9826470588235293,0.9769230769230769,0.98,0.9607843137254902,0.9702970297029702,0.9740630429386946,6.960033655166626
FEATURE_ENVY_decision_tree,0.9544769230769231,0.9214805194805196,0.9494444444444445,0.9315813430635412,0.9532516339869281,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.2320103645324707
FEATURE_ENVY_random_forest,0.9628615384615387,0.9269931457431458,0.9691666666666666,0.9451428939997052,0.964485294117647,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,4.98790431022644
GOD_CLASS_decision_tree,0.9713675213675215,0.959669191919192,0.9597222222222223,0.9575470416236671,0.9686192810457517,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.22565865516662598
GOD_CLASS_random_forest,0.9748005698005698,0.9635883838383839,0.9663888888888889,0.9627879256965944,0.9728186274509804,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,6.622466802597046
LONG_METHOD_decision_tree,0.9625384615384618,0.9527698412698417,0.9354166666666666,0.9401347987238081,0.955486111111111,0.9689922480620154,0.9183673469387755,1.0,0.9574468085106383,0.9761904761904762,0.2277812957763672
LONG_METHOD_random_forest,0.9915230769230771,0.989300505050505,0.9872222222222223,0.9872637230330729,0.9904901960784314,1.0,1.0,1.0,1.0,1.0,3.588366985321045
