,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.968746438746439,0.9548834776334778,0.955,0.9518793921077203,0.965392156862745,0.9615384615384616,0.96,0.9411764705882353,0.9504950495049505,0.9579300074460164,0.23111557960510254
DATA_CLASS_random_forest,0.9969515669515672,0.9921818181818182,1.0,0.9958421052631579,0.9976797385620916,0.9769230769230769,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176,4.670806169509888
FEATURE_ENVY_decision_tree,0.9466923076923078,0.9195883838383838,0.9277777777777777,0.9184718782249743,0.9419607843137254,0.9069767441860465,0.8076923076923077,0.9545454545454546,0.875,0.9184491978609626,0.22563695907592773
FEATURE_ENVY_random_forest,0.9648153846153847,0.9278492063492065,0.9755555555555557,0.9487481571576001,0.9677124183006535,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,8.07826566696167
GOD_CLASS_decision_tree,0.963789173789174,0.9495158730158729,0.9483333333333335,0.9466979335593888,0.9600816993464052,0.9615384615384616,0.95,0.926829268292683,0.9382716049382716,0.9521786790901616,0.22713327407836914
GOD_CLASS_random_forest,0.9698433048433052,0.9597651515151516,0.9563888888888888,0.9558639982308713,0.9665767973856209,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,6.424769878387451
LONG_METHOD_decision_tree,0.9629076923076922,0.9368946608946609,0.9572222222222222,0.9416135077512787,0.961486928104575,0.9612403100775194,0.9166666666666666,0.9777777777777777,0.946236559139785,0.965079365079365,0.2346193790435791
LONG_METHOD_random_forest,0.9919230769230771,0.9884444444444445,0.9879166666666666,0.9874110767113862,0.9908374183006536,0.9922480620155039,0.9782608695652174,1.0,0.989010989010989,0.9940476190476191,3.799150228500366
