,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9676068376068376,0.9610151515151516,0.9483333333333333,0.9508313799203892,0.9629248366013071,0.9615384615384616,1.0,0.9019607843137255,0.9484536082474228,0.9509803921568627,0.232025146484375
DATA_CLASS_random_forest,0.9961823361823362,0.9918888888888889,0.9977777777777778,0.9945510835913314,0.9965686274509804,0.9923076923076923,1.0,0.9803921568627451,0.99009900990099,0.9901960784313726,3.5748980045318604
FEATURE_ENVY_decision_tree,0.9486307692307693,0.9262979797979799,0.9255555555555556,0.9208024850966028,0.9427941176470587,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,0.24504661560058594
FEATURE_ENVY_random_forest,0.965276923076923,0.9281868686868688,0.9759722222222221,0.9490381591232986,0.9679370915032679,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,3.984203815460205
GOD_CLASS_decision_tree,0.9706125356125358,0.9599924242424243,0.9586111111111112,0.9569548503611972,0.9677859477124183,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.2480010986328125
GOD_CLASS_random_forest,0.9713817663817665,0.960770202020202,0.9593055555555557,0.9576268121283601,0.9684272875816994,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,5.786117315292358
LONG_METHOD_decision_tree,0.9830615384615384,0.9763636363636364,0.9748611111111112,0.9733756336542715,0.980796568627451,0.9844961240310077,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.982936507936508,0.24591326713562012
LONG_METHOD_random_forest,0.9922769230769231,0.9896666666666667,0.9881944444444446,0.9881596147230823,0.9912704248366013,1.0,1.0,1.0,1.0,1.0,4.91925573348999
