,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time
DATA_CLASS_decision_tree,0.9701851851851854,0.960513347763348,0.955,0.952874232149,0.9665196078431373,0.9615384615384616,0.96,0.9411764705882353,0.9504950495049505,0.9579300074460164,0.20247197151184082
DATA_CLASS_random_forest,0.9823646723646725,0.9583535353535355,0.9955555555555555,0.9754871861025112,0.9855555555555555,0.9769230769230769,0.98,0.9607843137254902,0.9702970297029702,0.9740630429386946,4.362022638320923
FEATURE_ENVY_decision_tree,0.9485846153846152,0.9326976911976912,0.9193055555555556,0.9202734173291449,0.9409926470588234,0.9302325581395349,0.926829268292683,0.8636363636363636,0.8941176470588236,0.9141711229946525,0.21681809425354004
FEATURE_ENVY_random_forest,0.9648769230769232,0.9276944444444445,0.975,0.9485766745294609,0.9674673202614379,0.9457364341085271,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9478609625668449,4.851402044296265
GOD_CLASS_decision_tree,0.9694301994301995,0.9571666666666667,0.9558333333333334,0.9545437859354269,0.9660702614379084,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,0.22494268417358398
GOD_CLASS_random_forest,0.9721652421652424,0.9608636363636365,0.9608333333333334,0.9591483488132095,0.9694199346405229,0.9846153846153847,0.9534883720930233,1.0,0.9761904761904763,0.9887640449438202,4.080956697463989
LONG_METHOD_decision_tree,0.9826769230769231,0.973594155844156,0.9761111111111112,0.9733365644503416,0.9809313725490195,0.9922480620155039,1.0,0.9777777777777777,0.9887640449438202,0.9888888888888889,0.2201218605041504
LONG_METHOD_random_forest,0.9899692307692308,0.9831818181818182,0.9879166666666666,0.9847082903336775,0.9893504901960785,1.0,1.0,1.0,1.0,1.0,5.610678434371948
