,DT-BO,RF-BO,DT-PSO,RF-PSO,DT-SMAC,RF-SMAC
DATA_CLASS,2.737718343734741,27.783854246139526,16.38734459877014,216.21060013771057,22.07375693321228,48.8392596244812
FEATURE_ENVY,2.9906585216522217,27.688117265701294,18.5276517868042,189.3368377685547,21.634005546569824,49.73772048950195
GOD_CLASS,2.8070356845855713,27.468958616256714,16.76526713371277,199.39285707473755,22.056224584579468,46.356722831726074
LONG_METHOD,2.966609239578247,22.884268283843994,18.098061323165894,164.51437044143677,18.078484535217285,54.31973624229431
